Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
ULLAPOOL,ULLAPOOL,INS172,NEREUS,C20259,41578,SCOTTISH FISHERMENS ORGANISATION,19,183,448,338.78,2012,S,PRT,N,N
ULLAPOOL,ULLAPOOL,INS240,RADIANCE,A11805,44330,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,19.68,89,295,260.473,1980,S,NOR,N,Y
ULLAPOOL,ULLAPOOL,UL543,OUR HAZEL,C16616,11569,NON-SECTOR,19.97,157,386,313.69,1994,S,ESP,Y,N
ULLAPOOL,ULLAPOOL,INS151,CORDELIA K,C20293,41589,NORTH SEA FISHERMENS ORGANISATION LTD,40.27,336,735,652.91,1983,S,NLD,N,Y
ABERDEEN,ABERDEEN,ME128,MAILE,C19507,33014,NON-SECTOR,4.5,0.74,5.9,10.305,1980,F,GBR,Y,N
ABERDEEN,ABERDEEN,K4,CORNUCOPIA,C18403,20166,NON-SECTOR,4.69,0.78,14,14.179,1970,F,GBR,Y,N
ABERDEEN,ABERDEEN,AH728,LADY CLAIRE,C20471,33490,NON-SECTOR,4.72,0.52,7.38,11.392,,F,OTH,Y,N
ABERDEEN,ABERDEEN,A974,RACHEL,C20472,25923,NON-SECTOR,4.77,0.67,5.96,11.984,2004,F,GBR,Y,N
ABERDEEN,ABERDEEN,A946,SHELLFISHER,C19371,30508,NON-SECTOR,4.77,0.58,15,16.147,2000,F,GBS,Y,N
ABERDEEN,JOHNSHAVEN,ME224,JIL,C17077,30301,NON-SECTOR,4.77,0.5,5,11.695,,F,,Y,N
ABERDEEN,ABERDEEN,A200,OCEAN DAWN,C16361,33874,NON-SECTOR,4.78,0.63,4,11.503,,F,GBS,N,N
ABERDEEN,ABERDEEN,A94,HALCYON,C19804,25098,NON-SECTOR,4.8,0.67,11.78,13.749,2010,F,GBR,N,N
ABERDEEN,ARBROATH,AH26,NICOLA D,B11238,33675,NON-SECTOR,4.8,0.91,7,12.27,1986,F,GBR,Y,N
ABERDEEN,JOHNSHAVEN,ME3,LOREN,C18287,33845,NON-SECTOR,4.8,0.68,12,14.904,1981,F,GBR,Y,N
ABERDEEN,GOURDON,ME218,CELIA CRAIG,B14719,33324,NON-SECTOR,4.8,0.69,4,10.632,,F,UNK,Y,N
ABERDEEN,GOURDON,A857,CLAIRE L,B12997,33840,NON-SECTOR,4.8,0.68,6,10.812,1988,F,GBR,Y,N
ABERDEEN,ARBROATH,AH92,MORAG,B12047,33737,NON-SECTOR,4.8,0.79,7,11.79,1980,F,GBR,Y,N
ABERDEEN,ABERDEEN,ME242,BOY DYLAN,C19625,20641,NON-SECTOR,4.82,0.64,14.9,14.754,1977,F,GBR,Y,N
ABERDEEN,MONTROSE,ME228,USANER,C18367,33983,NON-SECTOR,4.86,0.65,7.4,11.446,1992,F,GBR,Y,N
ABERDEEN,ABERDEEN,ME6,DAISY,C16462,33232,NON-SECTOR,4.87,0.74,3.73,11.078,1990,F,GBR,Y,N
ABERDEEN,ARBROATH,AH711,GLORIA VICTUS,C17101,33147,NON-SECTOR,4.94,1.08,4.5,11.312,2000,F,GBR,Y,N
ABERDEEN,ABERDEEN,A5,DAG DAN,C19691,33006,NON-SECTOR,4.97,0.64,5.9,12.496,1978,F,GBR,N,N
ABERDEEN,ABERDEEN,A13,JACQUELINE,A10040,30003,NON-SECTOR,4.98,0.45,11,14.91,1982,F,GBR,N,N
ABERDEEN,ABERDEEN,ME240,SUNBEAM,C19405,60056,NON-SECTOR,5.03,0.58,7.3,12.691,1998,F,GBR,N,N
ABERDEEN,ABERDEEN,A53,CRAWPEEL,C18302,23926,NON-SECTOR,5.05,0.63,11,15,2004,W,GBR,Y,N
ABERDEEN,ABERDEEN,A950,SAMYRA,C19628,22065,NON-SECTOR,5.46,0.74,12,16.211,2002,W,GBR,Y,N
ABERDEEN,ABERDEEN,A15,JACKIE B,C19227,21513,NON-SECTOR,5.57,1.12,8,15.241,1992,F,GBR,Y,N
ABERDEEN,ABERDEEN,ME246,SHELLY,C18968,30304,NON-SECTOR,5.88,1.07,11,18.298,1990,F,GBR,Y,N
ABERDEEN,MONTROSE,ME1,BLUE SHARK,B11187,30349,NON-SECTOR,5.9,0.88,30,24.12,1983,F,GBR,Y,N
ABERDEEN,MONTROSE,ME220,ARIES,C16120,30794,NON-SECTOR,5.91,1.06,34,28.538,1997,F,GBR,Y,N
ABERDEEN,JOHNSHAVEN,A869,SHEARMA,C16130,33008,NON-SECTOR,5.92,1.11,44,33.534,1997,F,GBS,Y,N
ABERDEEN,JOHNSHAVEN,A1,GOOD DESIGN,A10001,30000,NON-SECTOR,5.94,1.12,20,22.246,1967,W,GBR,Y,N
ABERDEEN,JOHNSHAVEN,ME231,STAR ORION,C18364,22050,NON-SECTOR,5.94,1.83,8.2,16.342,1972,F,NOR,Y,N
ABERDEEN,ABERDEEN,AH721,SHAMARA II,C19599,24257,NON-SECTOR,5.95,1.03,30,26.292,2008,F,GBR,Y,N
ABERDEEN,ABERDEEN,ME18,LUCKY II,C19088,30043,NON-SECTOR,5.95,0.96,22.1,23.333,2000,F,GBR,Y,N
ABERDEEN,GOURDON,ME4,JOWEST,A12757,30157,NON-SECTOR,5.95,1.96,19,23.544,1972,W,UNK,Y,N
ABERDEEN,ABERDEEN,A860,NORNESS,B13323,22899,NON-SECTOR,5.96,1.11,15,20.696,1992,F,GBR,Y,N
ABERDEEN,ABERDEEN,ME22,MOJO,C20546,31767,NON-SECTOR,6,1.25,18.4,22.26,2014,F,GBR,Y,N
ABERDEEN,ABERDEEN,A6,LAUREN ROSE,C20115,31493,NON-SECTOR,6.02,1.27,12,19.788,2006,F,GBR,Y,N
ABERDEEN,ABERDEEN,A955,JOHNY II,C19648,31249,NON-SECTOR,6.02,1.26,11.19,18.882,2005,F,GBR,Y,N
ABERDEEN,ABERDEEN,KY221,DEFIANT,A12194,20720,NON-SECTOR,6.1,1.4,9.7,18.944,1981,F,GBR,Y,N
ABERDEEN,ABERDEEN,A440,JEANNIE,C19297,33478,NON-SECTOR,6.4,0.97,18.65,20.104,2008,F,GBR,Y,N
ABERDEEN,MONTROSE,ME2,GIRL SANDRA,B12671,30414,NON-SECTOR,6.42,1.3,28.6,29.177,1992,F,GBR,Y,N
ABERDEEN,MONTROSE,ME11,AMARYLIS,A12727,31074,NON-SECTOR,6.7,2.83,44,38.895,1983,W,GBR,N,N
ABERDEEN,MONTROSE,UL59,PROMISE,B13654,30471,NON-SECTOR,6.7,1.49,75,48.423,1991,F,GBR,Y,N
ABERDEEN,ABERDEEN,AH5,VALHALLA V,C19684,22679,NON-SECTOR,6.79,1.35,45,34.645,2007,F,GBR,Y,N
ABERDEEN,GOURDON,ME70,QUEST 1V,A12766,31114,NON-SECTOR,6.82,1.88,21,26.091,1964,W,GBR,Y,N
ABERDEEN,ABERDEEN,ME8,IRIS.,C19394,30890,NON-SECTOR,6.9,1.22,29.4,29.79,2008,F,GBR,Y,N
ABERDEEN,ABERDEEN,AH1,OOR LASS,C17705,60109,NON-SECTOR,6.93,1.19,67.14,46.291,2002,F,GBR,Y,N
ABERDEEN,ABERDEEN,A344,BARRY JEAN,C19608,30892,NON-SECTOR,6.93,1.28,33.56,31.734,2009,F,GBR,Y,N
ABERDEEN,WHITBY,ME12,MEGELLEN,C16799,23272,NON-SECTOR,6.93,1.16,74.6,49.301,1999,F,GBR,Y,N
ABERDEEN,MONTROSE,ME9,LUNAN LASS,C18468,22201,NON-SECTOR,6.94,1.28,43,36.006,2004,F,GBR,Y,N
ABERDEEN,ABERDEEN,BRD17,SILVER CAT,C18715,31300,NON-SECTOR,6.99,1.22,74,50.076,1998,F,GBR,Y,N
ABERDEEN,STONEHAVEN,A177,SHAMARNIC,C16946,23986,NON-SECTOR,7.2,2.99,58,47.556,2000,F,GBR,Y,N
