Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
POOLE,POOLE,CS628,JOHN EDWARD,B14752,11760,NON-SECTOR,11.97,27.74,140,131.229,1996,F,GBR,Y,N
POOLE,LYMINGTON,BD87,CHALE BAY,B11440,11413,NON-SECTOR,11.98,19.83,95,100.613,1990,W,,Y,N
POOLE,PORTSMOUTH,LI111,MAYFLY,A18269,10646,NON-SECTOR,11.98,19.41,127,114.175,1985,S,GBR,Y,N
POOLE,SOUTHAMPTON,SU514,HOPE,C17859,12104,CORNISH FPO LTD,11.99,16.43,221,158.201,2003,W,GBR,N,N
POOLE,WEYMOUTH,WH296,PORTLAND ISLE,B11690,11426,NON-SECTOR,12,18.87,179,135.39,1990,F,GBR,Y,N
POOLE,ISLE OF WIGHT,CS451,MY WAY,A16259,10370,NON-SECTOR,12.02,7.84,179,118.293,1980,F,GBR,Y,N
POOLE,PORTSMOUTH,P9,PREVAIL,A14803,12373,NON-SECTOR,12.73,19.58,114,110.113,1972,S,,Y,N
POOLE,SOUTHAMPTON,SU516,SPIRITED LADY III,C20449,12421,CORNISH FPO LTD,12.95,23.61,221,170.675,2013,S,GBR,N,N
POOLE,PORTSMOUTH,FD366,PROVIDING STAR,A16753,10435,NON-SECTOR,13.11,26.75,134,124.801,1982,S,GBR,Y,Y
POOLE,PORTSMOUTH,P8,MORNING STAR,A17951,12092,NON-SECTOR,13.47,25.69,179,146.688,1984,S,GBR,N,Y
POOLE,WEYMOUTH,WY37,NICOLA L,A24057,11157,NON-SECTOR,13.6,35.65,197,162.498,1984,S,GBR,N,Y
POOLE,SOUTHAMPTON,FY848,DEFIANT,C17970,11903,CORNISH FPO LTD,13.97,41.5,221,179.917,,,GBR,N,N
PORTREE,TORRIDON,CY303,MY AMBER,B14667,40206,WEST OF SCOTLAND FPO LTD,10.3,9.08,119,93.205,1990,F,GBR,Y,N
PORTREE,KYLE,BRD90,HELEN BRUCE,B11649,40429,NON-SECTOR,10.4,5.36,55.95,59.497,1954,W,GBR,Y,N
PORTREE,PORTREE,BRD74,ENCHANTED,A14272,11286,NON-SECTOR,10.6,11.29,94,87.244,1988,F,GBR,Y,N
PORTREE,PORTREE,SY861,CHIEFTAIN,C18448,44165,NON-SECTOR,10.6,6.92,75.4,73.998,1990,F,,Y,
PORTREE,TORRIDON,BRD2,CHRISTINE,A21339,40619,NON-SECTOR,10.6,8.23,80,74.69,1982,F,GBR,Y,N
PORTREE,TORRIDON,BRD117,MICHELLE,A10974,44169,NON-SECTOR,10.7,5.05,56,63.72,1982,W,GBR,N,N
PORTREE,PORTREE,CY38,SANTA MARIA IIII,A24226,44685,SCOTTISH FISHERMENS ORGANISATION,11.22,20.4,126,108.649,1979,W,GBR,N,Y
PORTREE,STRATHAIRD,UL214,GOLDEN ISLES,A13760,44604,WEST OF SCOTLAND FPO LTD,11.38,11.48,94,91.006,1980,F,GBR,N,N
